# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 1020.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.13867  3.42328   19.9608  18.3272  18.3426  17.0368  15.1020  12.8663  10.5423   9.9037   9.5896   9.4070   9.0082   9.1562
   0.1067415871   0.1067415871  -3.03518  3.43816   19.1257  17.6509  17.6683  16.3685  14.5928  12.4551  10.3190   9.6849   9.3739   9.1902   8.8259   8.9372
   0.1134831742   0.1134831742  -2.93763  3.45219   18.3744  17.0093  17.0293  15.6964  14.0814  12.0747  10.1124   9.4824   9.1743   8.9892   8.6567   8.7387
   0.1202247613   0.1202247613  -2.84649  3.46521   17.7124  16.4302  16.4519  15.1015  13.6128  11.7314   9.9181   9.2915   8.9884   8.8054   8.4991   8.5607
   0.1269663484   0.1269663484  -2.78589  3.47101   17.3729  16.1272  16.1495  14.7963  13.3588  11.5329   9.7813   9.1565   8.8560   8.6746   8.3790   8.4333
   0.1337079355   0.1337079355  -2.72841  3.47652   17.0595  15.8453  15.8680  14.5141  13.1219  11.3478   9.6514   9.0282   8.7306   8.5511   8.2653   8.3134
   0.1404495226   0.1404495226  -2.67375  3.48175   16.7700  15.5828  15.6059  14.2529  12.9006  11.1751   9.5277   8.9062   8.6115   8.4340   8.1574   8.2001
   0.1471911097   0.1471911097  -2.62166  3.48674   16.5012  15.3374  15.3609  14.0099  12.6932  11.0130   9.4093   8.7896   8.4980   8.3229   8.0546   8.0928
   0.1539326968   0.1539326968  -2.57671  3.49045   16.2887  15.1420  15.1657  13.8173  12.5256  10.8781   9.3055   8.6870   8.3980   8.2251   7.9625   7.9981
   0.1606742839   0.1606742839  -2.53708  3.49326   16.1147  14.9812  15.0050  13.6593  12.3859  10.7625   9.2128   8.5950   8.3080   8.1373   7.8787   7.9127
   0.1674158711   0.1674158711  -2.49907  3.49596   15.9496  14.8282  14.8521  13.5093  12.2529  10.6521   9.1237   8.5065   8.2216   8.0533   7.7982   7.8310
   0.1741574582   0.1741574582  -2.46256  3.49855   15.7927  14.6823  14.7063  13.3667  12.1261  10.5464   9.0382   8.4213   8.1385   7.9724   7.7208   7.7527
   0.1808990453   0.1808990453  -2.42773  3.50099   15.6452  14.5447  14.5688  13.2327  12.0063  10.4462   8.9566   8.3399   8.0589   7.8949   7.6469   7.6776
