# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 20.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.09100  3.48071   14.8906  14.0459  14.0633  12.8284  11.5063   9.7504   8.0590   7.4515   7.1477   6.9871   6.6956   6.7238
   0.1356221422   0.1356221422  -1.90839  3.49362   14.2064  13.3548  13.3732  12.1451  10.8911   9.2244   7.6275   7.0106   6.7235   6.5789   6.3044   6.3355
   0.1712442845   0.1712442845  -1.76748  3.50328   13.6973  12.8370  12.8562  11.6369  10.4292   8.8247   7.2950   6.6663   6.3920   6.2616   5.9996   6.0353
   0.2068664267   0.2068664267  -1.65272  3.51145   13.2891  12.4164  12.4361  11.2243  10.0517   8.5032   7.0272   6.3868   6.1219   5.9997   5.7534   5.7902
   0.2424885690   0.2424885690  -1.55626  3.51828   12.9585  12.0718  12.0920  10.8846   9.7411   8.2349   6.8007   6.1503   5.8936   5.7819   5.5448   5.5887
   0.2781107112   0.2781107112  -1.47377  3.52402   12.6894  11.7880  11.8088  10.6019   9.4850   8.0049   6.6034   5.9450   5.6965   5.6020   5.3634   5.4248
   0.3137328535   0.3137328535  -1.40146  3.52918   12.4627  11.5437  11.5652  10.3541   9.2616   7.8037   6.4300   5.7643   5.5240   5.4471   5.2043   5.2866
   0.3493549957   0.3493549957  -1.33714  3.53393   12.2693  11.3283  11.3506  10.1303   9.0587   7.6271   6.2779   5.6050   5.3723   5.3082   5.0645   5.1649
   0.3849771380   0.3849771380  -1.27768  3.53875   12.0938  11.1259  11.1491   9.9151   8.8628   7.4655   6.1405   5.4597   5.2348   5.1780   4.9388   5.0539
   0.4205992802   0.4205992802  -1.22366  3.54321   11.9339  10.9394  10.9636   9.7159   8.6802   7.3200   6.0172   5.3290   5.1112   5.0570   4.8266   4.9511
   0.4562214224   0.4562214224  -1.17386  3.54743   11.7812  10.7626  10.7876   9.5289   8.5080   7.1858   5.9042   5.2091   4.9981   4.9436   4.7248   4.8543
   0.4918435647   0.4918435647  -1.12667  3.55179   11.6295  10.5872  10.6129   9.3446   8.3387   7.0576   5.7985   5.0961   4.8922   4.8355   4.6310   4.7628
   0.5274657069   0.5274657069  -1.08049  3.55641   11.4767  10.4093  10.4357   9.1576   8.1676   6.9311   5.6971   4.9855   4.7897   4.7298   4.5417   4.6749
   0.5630878492   0.5630878492  -1.03605  3.56099   11.3295  10.2363  10.2636   8.9748   8.0010   6.8089   5.6016   4.8789   4.6913   4.6287   4.4564   4.5920
   0.5987099914   0.5987099914  -0.99302  3.56547   11.1871  10.0687  10.0968   8.7975   7.8396   6.6906   5.5101   4.7763   4.5963   4.5317   4.3743   4.5129
   0.6343321337   0.6343321337  -0.94947  3.57030   11.0396   9.8955   9.9245   8.6156   7.6745   6.5710   5.4183   4.6746   4.5017   4.4355   4.2933   4.4354
   0.6699542759   0.6699526796  -0.90014  3.57978   10.8299   9.6464   9.6767   8.3576   7.4466   6.4286   5.3259   4.5733   4.4109   4.3425   4.2272   4.3744
   0.7055764182   0.7055724182  -0.84629  3.59168   10.5784   9.3579   9.3895   8.0696   7.1929   6.2751   5.2281   4.4681   4.3219   4.2541   4.1675   4.3212
   0.7411985604   0.7411945604  -0.79937  3.59743   10.4097   9.1659   9.1982   7.8762   7.0165   6.1494   5.1293   4.3624   4.2251   4.1581   4.0868   4.2449
   0.7768207026   0.7768167026  -0.74884  3.60402   10.2091   8.9529   8.9859   7.6691   6.8296   6.0140   5.0229   4.2546   4.1261   4.0602   4.0032   4.1645
   0.8124428449   0.8124387205  -0.69541  3.61133    9.9663   8.7224   8.7554   7.4582   6.6421   5.8714   4.9087   4.1508   4.0298   3.9653   3.9182   4.0801
   0.8480649871   0.8480605065  -0.63687  3.61984    9.6924   8.4604   8.4937   7.2186   6.4301   5.7142   4.7857   4.0392   3.9273   3.8644   3.8295   3.9925
   0.8836871294   0.8836822925  -0.57225  3.62969    9.3688   8.1652   8.1985   6.9526   6.1977   5.5394   4.6511   3.9221   3.8199   3.7586   3.7359   3.8980
   0.9193092716   0.9193042716  -0.49972  3.64168    8.9510   7.8261   7.8590   6.6613   5.9500   5.3417   4.5012   3.8070   3.7136   3.6541   3.6386   3.7934
   0.9549314139   0.9549259670  -0.41999  3.65566    8.4626   7.4426   7.4747   6.3368   5.6780   5.1231   4.3392   3.6896   3.6060   3.5485   3.5397   3.6844
   0.9905535561   0.9905476506  -0.33469  3.67099    7.9439   7.0582   7.0887   6.0156   5.4115   4.8958   4.1691   3.5723   3.4967   3.4424   3.4355   3.5666
   1.0261756984   1.0261696984  -0.24504  3.68684    7.4238   6.6741   6.7029   5.6939   5.1417   4.6630   3.9933   3.4487   3.3809   3.3305   3.3253   3.4424
   1.0617978406   1.0617918406  -0.15068  3.70315    6.8995   6.2885   6.3154   5.3711   4.8678   4.4235   3.8108   3.3179   3.2577   3.2118   3.2080   3.3106
   1.0974199828   1.0974135576  -0.05167  3.71991    6.3810   5.9068   5.9313   5.0555   4.5941   4.1807   3.6233   3.1789   3.1257   3.0853   3.0823   3.1702
   1.1330421251   1.1330350613   0.05980  3.73657    5.8508   5.5045   5.5265   4.7228   4.2991   3.9141   3.4090   3.0093   2.9625   2.9281   2.9258   2.9986
   1.1686642673   1.1686566512   0.17649  3.75331    5.3355   5.0991   5.1186   4.3891   4.0006   3.6430   3.1870   2.8287   2.7876   2.7588   2.7570   2.8142
   1.2042864096   1.2042783667   0.29076  3.76971    4.8584   4.7105   4.7275   4.0702   3.7150   3.3841   2.9737   2.6537   2.6178   2.5937   2.5921   2.6346
   1.2399085518   1.2398999925   0.37410  3.78420    4.5042   4.4183   4.4334   3.8382   3.5115   3.2043   2.8323   2.5446   2.5131   2.4923   2.4909   2.5217
   1.2755306941   1.2755211894   0.40670  3.79486    4.3289   4.2805   4.2943   3.7429   3.4362   3.1464   2.8019   2.5367   2.5083   2.4897   2.4883   2.5118
   1.3111528363   1.3111427248   0.39377  3.80033    4.3176   4.2873   4.3005   3.7698   3.4731   3.1919   2.8609   2.6066   2.5800   2.5623   2.5610   2.5816
   1.3467749786   1.3467645108   0.37461  3.80102    4.3592   4.3332   4.3463   3.8176   3.5217   3.2414   2.9122   2.6589   2.6326   2.6152   2.6139   2.6343
   1.3823971208   1.3823854957   0.39935  3.80299    4.2840   4.2619   4.2747   3.7537   3.4616   3.1845   2.8601   2.6108   2.5850   2.5678   2.5665   2.5859
   1.4180192630   1.4180069109   0.47086  3.80977    4.0583   4.0489   4.0610   3.5674   3.2885   3.0229   2.7152   2.4802   2.4559   2.4398   2.4384   2.4541
   1.4536414053   1.4536283325   0.53715  3.81719    3.8500   3.8489   3.8601   3.3947   3.1301   2.8771   2.5871   2.3673   2.3445   2.3293   2.3278   2.3408
   1.4892635475   1.4892495515   0.60385  3.82539    3.6426   3.6461   3.6565   3.2212   2.9722   2.7333   2.4626   2.2593   2.2381   2.2237   2.2222   2.2329
   1.5248856898   1.5248706898   0.66538  3.83466    3.4495   3.4543   3.4639   3.0606   2.8293   2.6068   2.3573   2.1722   2.1527   2.1392   2.1376   2.1466
   1.5605078320   1.5604915183   0.72548  3.84541    3.2597   3.2625   3.2713   2.9036   2.6929   2.4895   2.2645   2.1003   2.0827   2.0701   2.0685   2.0763
   1.5961299743   1.5961178425   0.79670  3.86058    3.0430   3.0337   3.0414   2.7187   2.5372   2.3615   2.1691   2.0334   2.0177   2.0061   2.0046   2.0120
   1.6317521165   1.6317387798   0.85040  3.87958    2.8721   2.8462   2.8527   2.5813   2.4358   2.2949   2.1419   2.0393   2.0260   2.0155   2.0140   2.0219
   1.6673742588   1.6673595850   0.87301  3.88984    2.7997   2.7653   2.7715   2.5259   2.3996   2.2776   2.1449   2.0589   2.0469   2.0370   2.0358   2.0441
   1.7029964010   1.7029802575   0.89932  3.89729    2.7249   2.6833   2.6890   2.4625   2.3503   2.2418   2.1232   2.0486   2.0374   2.0278   2.0266   2.0354
   1.7386185432   1.7386011820   0.93520  3.90498    2.6267   2.5763   2.5816   2.3759   2.2785   2.1841   2.0800   2.0170   2.0065   1.9973   1.9962   2.0052
   1.7742406855   1.7742220200   0.97219  3.91282    2.5271   2.4681   2.4730   2.2900   2.2076   2.1267   2.0362   1.9837   1.9738   1.9647   1.9638   1.9731
   1.8098628277   1.8098424823   1.00826  3.92041    2.4302   2.3650   2.3696   2.2086   2.1402   2.0718   1.9939   1.9508   1.9416   1.9327   1.9318   1.9414
   1.8454849700   1.8454629795   1.04305  3.92759    2.3371   2.2675   2.2717   2.1321   2.0765   2.0194   1.9530   1.9183   1.9096   1.9008   1.9001   1.9098
   1.8811071122   1.8810833923   1.07713  3.93462    2.2451   2.1777   2.1815   2.0606   2.0161   1.9686   1.9131   1.8854   1.8775   1.8689   1.8683   1.8782
   1.9167292545   1.9167026915   1.11032  3.94139    2.1551   2.0919   2.0954   1.9921   1.9578   1.9195   1.8743   1.8530   1.8460   1.8376   1.8371   1.8471
   1.9523513967   1.9523209247   1.14266  3.94789    2.0671   2.0130   2.0160   1.9281   1.9021   1.8716   1.8357   1.8200   1.8142   1.8060   1.8055   1.8157
   1.9879735390   1.9879393186   1.17439  3.95426    1.9803   1.9366   1.9393   1.8661   1.8480   1.8251   1.7985   1.7880   1.7834   1.7755   1.7751   1.7853
   2.0235956812   2.0235679220   1.20546  3.96034    1.8977   1.8674   1.8696   1.8089   1.7968   1.7800   1.7614   1.7550   1.7515   1.7440   1.7437   1.7540
   2.0592178234   2.0592025584   1.23590  3.96624    1.8173   1.8001   1.8020   1.7532   1.7471   1.7361   1.7252   1.7228   1.7205   1.7133   1.7131   1.7235
   2.0948399657   2.0948379767   1.26580  3.97203    1.7407   1.7373   1.7388   1.7009   1.6997   1.6938   1.6899   1.6909   1.6899   1.6832   1.6832   1.6937
   2.1304621079   2.1304621079   1.29501  3.97758    1.6662   1.6763   1.6776   1.6500   1.6534   1.6524   1.6552   1.6593   1.6596   1.6536   1.6536   1.6643
   2.1660842502   2.1660842502   1.32370  3.98301    1.5950   1.6193   1.6203   1.6017   1.6090   1.6119   1.6210   1.6276   1.6294   1.6240   1.6243   1.6353
   2.2017063924   2.2017063924   1.35187  3.98835    1.5252   1.5637   1.5644   1.5547   1.5656   1.5725   1.5878   1.5969   1.6001   1.5956   1.5960   1.6071
   2.2373285347   2.2373285347   1.37886  3.99355    1.4593   1.5120   1.5126   1.5109   1.5249   1.5353   1.5565   1.5679   1.5725   1.5688   1.5695   1.5809
   2.2729506769   2.2729506769   1.40557  3.99865    1.3944   1.4613   1.4616   1.4677   1.4849   1.4985   1.5256   1.5390   1.5451   1.5422   1.5432   1.5549
   2.3085728192   2.3085728192   1.43201  4.00362    1.3303   1.4117   1.4117   1.4251   1.4449   1.4617   1.4942   1.5097   1.5172   1.5152   1.5164   1.5284
   2.3441949614   2.3441949614   1.45841  4.00839    1.2667   1.3624   1.3623   1.3821   1.4041   1.4236   1.4614   1.4787   1.4875   1.4864   1.4879   1.5001
   2.3798171036   2.3798171036   1.48443  4.01309    1.2043   1.3143   1.3140   1.3398   1.3640   1.3861   1.4290   1.4481   1.4583   1.4581   1.4598   1.4722
   2.4154392459   2.4154392214   1.51003  4.01770    1.1432   1.2673   1.2668   1.2982   1.3244   1.3492   1.3970   1.4178   1.4294   1.4300   1.4319   1.4446
   2.4510613881   2.4510606237   1.53521  4.02218    1.0832   1.2214   1.2206   1.2574   1.2854   1.3126   1.3652   1.3876   1.4004   1.4020   1.4041   1.4171
   2.4866835304   2.4866811925   1.56004  4.02659    1.0243   1.1765   1.1755   1.2172   1.2470   1.2764   1.3337   1.3577   1.3718   1.3742   1.3765   1.3898
   2.5223056726   2.5223017814   1.58444  4.03090    0.9665   1.1326   1.1314   1.1777   1.2091   1.2406   1.3026   1.3280   1.3434   1.3466   1.3492   1.3628
   2.5579278149   2.5579227919   1.60845  4.03513    0.9098   1.0896   1.0884   1.1389   1.1718   1.2053   1.2718   1.2986   1.3152   1.3193   1.3221   1.3360
   2.5935499571   2.5935422132   1.63217  4.03927    0.8539   1.0473   1.0460   1.1006   1.1348   1.1703   1.2412   1.2693   1.2871   1.2920   1.2950   1.3091
   2.6291720994   2.6291623958   1.65547  4.04332    0.7992   1.0061   1.0046   1.0630   1.0984   1.1357   1.2108   1.2401   1.2592   1.2649   1.2680   1.2824
   2.6647942416   2.6647828121   1.67843  4.04731    0.7454   0.9656   0.9641   1.0259   1.0625   1.1015   1.1806   1.2111   1.2314   1.2379   1.2412   1.2559
   2.7004163838   2.7004031466   1.70111  4.05124    0.6924   0.9259   0.9242   0.9893   1.0269   1.0676   1.1507   1.1824   1.2038   1.2110   1.2146   1.2295
   2.7360385261   2.7360231513   1.72352  4.05510    0.6401   0.8867   0.8849   0.9531   0.9918   1.0340   1.1211   1.1540   1.1764   1.1843   1.1880   1.2033
   2.7716606683   2.7716431619   1.74564  4.05891    0.5887   0.8481   0.8463   0.9175   0.9571   1.0008   1.0919   1.1259   1.1492   1.1579   1.1618   1.1773
   2.8072828106   2.8072627332   1.76745  4.06266    0.5382   0.8103   0.8084   0.8824   0.9229   0.9681   1.0629   1.0980   1.1223   1.1316   1.1357   1.1515
   2.8429049528   2.8428801878   1.78887  4.06626    0.4886   0.7729   0.7709   0.8476   0.8890   0.9356   1.0340   1.0700   1.0953   1.1053   1.1095   1.1255
   2.8785270951   2.8784975842   1.81003  4.06982    0.4399   0.7361   0.7340   0.8133   0.8554   0.9034   1.0053   1.0424   1.0685   1.0792   1.0836   1.0998
   2.9141492373   2.9141149766   1.83093  4.07333    0.3918   0.6999   0.6977   0.7795   0.8224   0.8716   0.9769   1.0150   1.0420   1.0533   1.0579   1.0744
   2.9497713796   2.9497320774   1.85160  4.07679    0.3443   0.6642   0.6620   0.7460   0.7897   0.8401   0.9488   0.9878   1.0156   1.0275   1.0323   1.0490
   2.9853935218   2.9853490911   1.87204  4.08020    0.2976   0.6290   0.6267   0.7129   0.7574   0.8090   0.9209   0.9608   0.9894   1.0019   1.0069   1.0237
